timestamp,event_id,location_junction,event_type,expected_crowd,impact_radius,start_time,end_time
2025-12-29 13:57:50.633444,EVT-0,J11,Concert,7814,1,2025-12-29 12:57:50.633444,2025-12-29 14:57:50.633444
2025-06-06 10:57:50.633444,EVT-1,J8,Protest,9253,1,2025-06-06 09:57:50.633444,2025-06-06 11:57:50.633444
2025-04-12 14:57:50.633444,EVT-2,J8,Sports,843,2,2025-04-12 13:57:50.633444,2025-04-12 15:57:50.633444
2026-02-16 16:57:50.633444,EVT-3,J15,Protest,6537,1,2026-02-16 15:57:50.633444,2026-02-16 17:57:50.633444
2025-07-09 01:57:50.633444,EVT-4,J20,Sports,8892,3,2025-07-09 00:57:50.633444,2025-07-09 02:57:50.633444
2025-08-31 14:57:50.633444,EVT-5,J1,Sports,7614,2,2025-08-31 13:57:50.633444,2025-08-31 15:57:50.633444
2026-03-08 16:57:50.633444,EVT-6,J7,Concert,5624,3,2026-03-08 15:57:50.633444,2026-03-08 17:57:50.633444
2025-08-28 13:57:50.633444,EVT-7,J4,Political Rally,539,3,2025-08-28 12:57:50.633444,2025-08-28 14:57:50.633444
2025-09-20 10:57:50.633444,EVT-8,J6,Political Rally,3856,2,2025-09-20 09:57:50.633444,2025-09-20 11:57:50.633444
2025-04-20 18:57:50.633444,EVT-9,J18,Sports,8654,2,2025-04-20 17:57:50.633444,2025-04-20 19:57:50.633444
2025-07-26 01:57:50.633444,EVT-10,J8,Political Rally,2640,1,2025-07-26 00:57:50.633444,2025-07-26 02:57:50.633444
2025-04-05 04:57:50.633444,EVT-11,J13,Sports,2193,1,2025-04-05 03:57:50.633444,2025-04-05 05:57:50.633444
2025-10-20 03:57:50.633444,EVT-12,J12,Concert,7449,1,2025-10-20 02:57:50.633444,2025-10-20 04:57:50.633444
2025-07-06 13:57:50.633444,EVT-13,J6,Political Rally,1419,2,2025-07-06 12:57:50.633444,2025-07-06 14:57:50.633444
2025-06-03 13:57:50.633444,EVT-14,J20,Political Rally,4556,2,2025-06-03 12:57:50.633444,2025-06-03 14:57:50.633444
2025-04-21 02:57:50.633444,EVT-15,J15,Political Rally,6031,1,2025-04-21 01:57:50.633444,2025-04-21 03:57:50.633444
2025-04-17 20:57:50.633444,EVT-16,J16,Protest,1824,1,2025-04-17 19:57:50.633444,2025-04-17 21:57:50.633444
2025-08-26 18:57:50.633444,EVT-17,J19,Concert,6917,3,2025-08-26 17:57:50.633444,2025-08-26 19:57:50.633444
2026-02-03 11:57:50.633444,EVT-18,J1,Sports,2900,1,2026-02-03 10:57:50.633444,2026-02-03 12:57:50.633444
2025-09-21 10:57:50.633444,EVT-19,J8,Protest,4066,3,2025-09-21 09:57:50.633444,2025-09-21 11:57:50.633444
2025-05-10 15:57:50.633444,EVT-20,J16,Sports,6956,1,2025-05-10 14:57:50.633444,2025-05-10 16:57:50.633444
2026-03-09 14:57:50.633444,EVT-21,J2,Concert,3281,1,2026-03-09 13:57:50.633444,2026-03-09 15:57:50.633444
2025-09-07 17:57:50.633444,EVT-22,J19,Sports,9090,3,2025-09-07 16:57:50.633444,2025-09-07 18:57:50.633444
2025-10-29 17:57:50.633444,EVT-23,J13,Sports,2961,1,2025-10-29 16:57:50.633444,2025-10-29 18:57:50.633444
