timestamp,junction_id,direction,accident_flag,accident_severity,lanes_blocked,clearance_time,road_block_flag,construction_flag,emergency_vehicle_present
2025-05-27 05:57:50.633444,J9,S,0,None,1,85,0,0,1
2025-04-25 21:57:50.633444,J20,N,0,None,0,36,0,0,0
2025-10-29 14:57:50.633444,J16,S,0,None,2,77,1,1,0
2025-06-08 23:57:50.633444,J11,N,0,None,2,94,0,0,1
2026-01-27 10:57:50.633444,J9,W,0,None,1,16,0,0,0
2026-01-11 02:57:50.633444,J13,N,0,None,1,54,0,0,0
2025-12-13 19:57:50.633444,J1,W,1,None,0,48,0,0,0
2026-04-02 23:57:50.633444,J3,S,1,None,0,109,0,0,0
2026-03-18 16:57:50.633444,J12,W,0,None,2,108,0,0,0
2026-02-12 06:57:50.633444,J5,E,0,None,1,78,0,0,0
2025-05-09 01:57:50.633444,J11,E,0,None,0,73,0,0,0
2026-03-19 11:57:50.633444,J7,W,0,None,1,28,0,0,0
2026-04-02 03:57:50.633444,J20,E,0,None,2,59,0,0,0
2026-03-02 23:57:50.633444,J5,S,0,None,0,38,0,0,0
2025-12-23 09:57:50.633444,J18,N,0,None,0,90,0,0,1
2025-05-25 22:57:50.633444,J20,W,1,None,2,24,0,0,0
2025-09-29 00:57:50.633444,J15,N,1,Minor,0,66,0,0,0
2025-05-22 09:57:50.633444,J8,N,0,None,2,30,0,0,0
2025-09-11 19:57:50.633444,J17,S,1,None,0,46,1,0,0
2025-07-20 23:57:50.633444,J1,W,0,None,1,45,1,0,0
2025-12-04 12:57:50.633444,J15,W,0,None,1,87,0,0,0
2026-03-03 13:57:50.633444,J11,N,0,None,2,49,1,0,0
2025-10-09 02:57:50.633444,J17,N,1,None,0,38,0,0,0
2026-02-18 15:57:50.633444,J12,E,1,None,0,110,0,0,0
2025-10-03 17:57:50.633444,J8,E,0,None,2,93,0,0,1
2025-06-25 12:57:50.633444,J3,E,1,Major,2,63,0,0,0
2026-01-09 22:57:50.633444,J16,S,0,None,2,103,1,0,0
2025-11-06 06:57:50.633444,J8,W,0,None,1,18,1,0,1
2026-02-06 15:57:50.633444,J15,S,0,None,2,33,0,0,0
2026-03-22 01:57:50.633444,J3,S,0,None,0,111,0,0,1
2025-10-01 10:57:50.633444,J10,S,0,None,2,48,0,0,0
2026-03-05 23:57:50.633444,J6,N,1,None,2,62,0,0,1
2025-07-17 04:57:50.633444,J2,W,0,None,0,38,0,0,0
2025-08-30 12:57:50.633444,J18,W,0,None,0,92,1,0,0
2025-09-30 16:57:50.633444,J1,E,0,None,1,104,0,1,1
2026-03-05 00:57:50.633444,J11,S,0,None,1,28,0,0,0
2026-02-25 10:57:50.633444,J14,N,0,None,1,55,0,0,0
2025-07-26 08:57:50.633444,J3,S,0,None,0,104,0,0,0
2025-05-25 08:57:50.633444,J14,W,0,None,1,111,1,0,0
2026-02-01 03:57:50.633444,J18,N,0,None,2,88,0,0,1
2025-11-13 19:57:50.633444,J12,S,0,None,1,46,0,0,1
2026-02-12 11:57:50.633444,J7,N,0,None,1,74,0,0,0
2025-11-18 10:57:50.633444,J18,N,0,None,2,58,0,0,0
2025-11-12 06:57:50.633444,J9,N,0,None,1,21,0,0,1
2025-06-13 07:57:50.633444,J16,W,0,None,0,16,0,0,0
2025-06-22 22:57:50.633444,J11,S,0,None,2,55,0,0,0
2026-03-27 03:57:50.633444,J4,W,1,None,1,27,0,0,0
2026-03-08 15:57:50.633444,J19,S,1,Minor,0,21,0,0,0
2026-03-24 13:57:50.633444,J14,W,1,Minor,0,23,0,0,0
2025-11-13 04:57:50.633444,J6,W,0,None,1,55,0,0,0
2026-01-14 06:57:50.633444,J15,N,0,None,2,37,0,0,0
2025-12-02 05:57:50.633444,J10,N,0,None,2,105,1,0,0
2025-07-20 17:57:50.633444,J4,E,0,None,0,90,1,0,0
2026-03-03 05:57:50.633444,J8,E,0,None,0,106,0,0,0
2025-07-15 08:57:50.633444,J10,W,0,None,2,39,0,0,1
2025-05-15 04:57:50.633444,J2,N,0,None,1,74,0,0,0
2025-08-03 06:57:50.633444,J20,W,0,None,2,41,0,1,0
2025-08-02 06:57:50.633444,J11,N,0,None,0,98,0,0,0
2025-12-20 22:57:50.633444,J17,E,1,None,2,79,0,0,1
2025-12-22 08:57:50.633444,J11,E,1,Minor,2,104,0,0,0
2025-10-23 19:57:50.633444,J13,W,0,None,1,29,0,0,0
2025-07-07 12:57:50.633444,J3,W,1,Minor,0,98,0,0,0
