timestamp,junction_id,total_vehicle_count,avg_waiting_time,avg_congestion,vehicles_passed,network_rank_congestion,highest_wait_flag,lowest_efficiency_flag
2025-04-03 14:57:50.633444,J13,264,70,1.5,257,1,1,0
2025-04-03 14:57:50.633444,J1,201,44,1.0,195,2,0,0
2025-04-03 14:57:50.633444,J12,152,26,1.0,144,3,0,0
2025-04-03 14:57:50.633444,J15,162,31,1.0,154,4,0,0
2025-04-03 14:57:50.633444,J16,162,38,1.0,148,5,0,0
2025-04-03 14:57:50.633444,J17,160,36,1.0,152,6,0,0
2025-04-03 14:57:50.633444,J2,198,45,1.0,191,7,0,0
2025-04-03 14:57:50.633444,J4,159,44,1.0,153,8,0,0
2025-04-03 14:57:50.633444,J6,179,41,1.0,175,9,0,0
2025-04-03 14:57:50.633444,J7,184,42,1.0,180,10,0,0
2025-04-03 14:57:50.633444,J9,146,33,1.0,138,11,0,0
2025-04-03 14:57:50.633444,J11,165,42,0.8,161,12,0,0
2025-04-03 14:57:50.633444,J14,152,26,0.8,143,13,0,0
2025-04-03 14:57:50.633444,J20,139,42,0.8,129,14,0,0
2025-04-03 14:57:50.633444,J8,129,27,0.8,120,15,0,0
2025-04-03 14:57:50.633444,J10,130,33,0.5,124,16,0,0
2025-04-03 14:57:50.633444,J18,130,36,0.5,119,17,0,0
2025-04-03 14:57:50.633444,J19,129,30,0.5,123,18,0,0
2025-04-03 14:57:50.633444,J5,123,28,0.5,118,19,0,0
2025-04-03 14:57:50.633444,J3,69,17,0.0,67,20,0,1
2025-04-03 15:57:50.633444,J6,208,60,1.5,197,1,1,0
2025-04-03 15:57:50.633444,J15,215,58,1.2,209,2,0,0
2025-04-03 15:57:50.633444,J20,188,39,1.2,180,3,0,0
2025-04-03 15:57:50.633444,J1,179,48,1.0,172,4,0,0
2025-04-03 15:57:50.633444,J17,187,52,1.0,179,5,0,0
2025-04-03 15:57:50.633444,J19,163,44,1.0,153,6,0,0
2025-04-03 15:57:50.633444,J10,148,28,0.8,136,7,0,0
2025-04-03 15:57:50.633444,J11,128,30,0.8,121,8,0,0
2025-04-03 15:57:50.633444,J13,130,23,0.8,117,9,0,0
2025-04-03 15:57:50.633444,J14,156,49,0.8,140,10,0,0
2025-04-03 15:57:50.633444,J16,175,44,0.8,168,11,0,0
2025-04-03 15:57:50.633444,J2,147,36,0.8,141,12,0,0
2025-04-03 15:57:50.633444,J4,167,38,0.8,158,13,0,0
2025-04-03 15:57:50.633444,J7,185,40,0.8,174,14,0,0
2025-04-03 15:57:50.633444,J8,177,58,0.8,171,15,0,0
2025-04-03 15:57:50.633444,J12,119,28,0.5,108,16,0,0
2025-04-03 15:57:50.633444,J18,136,33,0.5,123,17,0,0
2025-04-03 15:57:50.633444,J3,132,30,0.5,125,18,0,0
2025-04-03 15:57:50.633444,J5,141,29,0.5,133,19,0,0
2025-04-03 15:57:50.633444,J9,82,14,0.2,74,20,0,1
2025-04-03 16:57:50.633444,J1,194,48,1.2,185,1,1,0
2025-04-03 16:57:50.633444,J14,197,44,1.2,194,2,0,0
2025-04-03 16:57:50.633444,J3,185,39,1.2,178,3,0,0
2025-04-03 16:57:50.633444,J13,187,39,1.0,177,4,0,0
2025-04-03 16:57:50.633444,J15,159,35,1.0,153,5,0,0
2025-04-03 16:57:50.633444,J16,142,40,1.0,136,6,0,0
2025-04-03 16:57:50.633444,J4,141,43,1.0,135,7,0,0
2025-04-03 16:57:50.633444,J5,168,46,1.0,162,8,0,0
2025-04-03 16:57:50.633444,J11,150,36,0.8,142,9,0,0
2025-04-03 16:57:50.633444,J12,168,31,0.8,155,10,0,0
2025-04-03 16:57:50.633444,J18,157,36,0.8,144,11,0,0
2025-04-03 16:57:50.633444,J19,152,36,0.8,143,12,0,0
2025-04-03 16:57:50.633444,J2,147,46,0.8,141,13,0,0
