timestamp,junction_id,state,action_taken,reward,q_value,green_time_N,green_time_S,green_time_E,green_time_W,policy_version
2025-04-03 14:57:50.633444,J1,Clearing,Activate_Sync,2.37,0.275,68,57,66,53,v4.2.1-stable
2025-04-03 14:57:50.633444,J2,Clearing,Shorten_Red_E,2.1,0.641,32,21,21,35,v4.2.1-stable
2025-04-03 14:57:50.633444,J3,Congested,Extend_Green_N,13.44,0.735,40,29,26,62,v4.2.1-stable
2025-04-03 14:57:50.633444,J4,Congested,Activate_Sync,-1.67,0.232,66,27,61,86,v4.2.1-stable
2025-04-03 14:57:50.633444,J5,Smooth,Extend_Green_S,5.71,0.647,78,55,21,67,v4.2.1-stable
2025-04-03 14:57:50.633444,J6,Smooth,Extend_Green_S,5.47,0.559,42,31,52,73,v4.2.1-stable
2025-04-03 14:57:50.633444,J7,Clearing,Extend_Green_S,0.63,0.915,88,58,24,48,v4.2.1-stable
2025-04-03 14:57:50.633444,J8,Congested,Shorten_Red_E,14.56,0.725,37,65,50,46,v4.2.1-stable
2025-04-03 14:57:50.633444,J9,Smooth,Extend_Green_S,2.08,0.555,68,44,29,44,v4.2.1-stable
2025-04-03 14:57:50.633444,J10,Congested,Extend_Green_S,-2.02,0.141,47,74,24,59,v4.2.1-stable
2025-04-03 14:57:50.633444,J11,Congested,Activate_Sync,3.92,0.407,40,84,43,27,v4.2.1-stable
2025-04-03 14:57:50.633444,J12,Congested,Activate_Sync,-2.69,0.085,79,65,40,82,v4.2.1-stable
2025-04-03 14:57:50.633444,J13,Clearing,Extend_Green_N,7.02,0.271,27,76,49,65,v4.2.1-stable
2025-04-03 14:57:50.633444,J14,Clearing,Extend_Green_N,-3.77,0.139,37,83,69,34,v4.2.1-stable
2025-04-03 14:57:50.633444,J15,Smooth,Extend_Green_N,7.61,0.039,31,64,54,57,v4.2.1-stable
2025-04-03 14:57:50.633444,J16,Clearing,Extend_Green_N,12.68,0.626,41,75,21,70,v4.2.1-stable
2025-04-03 14:57:50.633444,J17,Congested,Extend_Green_S,2.04,0.607,81,50,35,65,v4.2.1-stable
2025-04-03 14:57:50.633444,J18,Smooth,Activate_Sync,2.93,0.309,75,61,59,23,v4.2.1-stable
2025-04-03 14:57:50.633444,J19,Smooth,Extend_Green_N,-2.97,0.489,42,49,30,31,v4.2.1-stable
2025-04-03 14:57:50.633444,J20,Clearing,Shorten_Red_E,13.63,0.311,24,74,83,39,v4.2.1-stable
2025-04-03 15:57:50.633444,J1,Clearing,Shorten_Red_E,8.06,0.338,28,81,27,63,v4.2.1-stable
2025-04-03 15:57:50.633444,J2,Smooth,Extend_Green_N,-2.51,0.462,31,50,67,55,v4.2.1-stable
2025-04-03 15:57:50.633444,J3,Clearing,Extend_Green_S,14.79,0.7,48,75,89,29,v4.2.1-stable
2025-04-03 15:57:50.633444,J4,Clearing,Extend_Green_S,12.38,0.362,85,29,20,45,v4.2.1-stable
2025-04-03 15:57:50.633444,J5,Clearing,Shorten_Red_E,11.09,0.059,56,68,42,31,v4.2.1-stable
2025-04-03 15:57:50.633444,J6,Smooth,Activate_Sync,14.54,0.865,63,20,29,54,v4.2.1-stable
2025-04-03 15:57:50.633444,J7,Clearing,Extend_Green_N,8.69,0.838,62,88,72,60,v4.2.1-stable
2025-04-03 15:57:50.633444,J8,Smooth,Activate_Sync,13.91,0.653,25,76,41,33,v4.2.1-stable
2025-04-03 15:57:50.633444,J9,Congested,Activate_Sync,10.71,0.428,89,53,23,30,v4.2.1-stable
2025-04-03 15:57:50.633444,J10,Congested,Extend_Green_N,8.78,0.015,20,67,52,51,v4.2.1-stable
2025-04-03 15:57:50.633444,J11,Congested,Activate_Sync,10.07,0.465,88,60,20,42,v4.2.1-stable
2025-04-03 15:57:50.633444,J12,Smooth,Activate_Sync,14.18,0.572,62,25,35,87,v4.2.1-stable
2025-04-03 15:57:50.633444,J13,Congested,Activate_Sync,12.44,0.852,43,23,53,72,v4.2.1-stable
2025-04-03 15:57:50.633444,J14,Congested,Extend_Green_N,0.52,0.377,64,32,30,47,v4.2.1-stable
2025-04-03 15:57:50.633444,J15,Smooth,Extend_Green_N,2.09,0.448,71,20,56,74,v4.2.1-stable
2025-04-03 15:57:50.633444,J16,Congested,Shorten_Red_E,5.26,0.641,69,53,73,66,v4.2.1-stable
2025-04-03 15:57:50.633444,J17,Smooth,Extend_Green_N,-1.4,0.815,36,89,31,54,v4.2.1-stable
2025-04-03 15:57:50.633444,J18,Clearing,Extend_Green_N,11.25,0.472,50,44,66,55,v4.2.1-stable
2025-04-03 15:57:50.633444,J19,Congested,Extend_Green_S,7.56,0.764,39,45,62,85,v4.2.1-stable
2025-04-03 15:57:50.633444,J20,Clearing,Shorten_Red_E,9.59,0.611,84,20,45,66,v4.2.1-stable
2025-04-03 16:57:50.633444,J1,Clearing,Shorten_Red_E,2.88,0.825,84,40,89,26,v4.2.1-stable
2025-04-03 16:57:50.633444,J2,Clearing,Extend_Green_N,0.08,0.495,43,56,26,38,v4.2.1-stable
