junction_id,direction,road_width,lane_count,road_capacity,road_type,speed_limit,has_bus_lane,has_pedestrian_crossing
J1,N,10.5,2,1500,Highway,40,1,1
J1,S,10.5,3,2000,Highway,40,1,1
J1,E,14.0,3,2000,Arterial,40,0,1
J1,W,10.5,4,1500,Arterial,60,0,1
J2,N,10.5,4,1500,Arterial,40,0,1
J2,S,10.5,2,2000,Highway,60,1,1
J2,E,14.0,3,1500,Highway,60,0,1
J2,W,7.5,2,2000,Highway,60,0,1
J3,N,10.5,4,2000,Highway,80,0,1
J3,S,14.0,4,2000,Highway,40,0,1
J3,E,10.5,3,3000,Arterial,60,1,1
J3,W,10.5,2,1500,Link,40,0,1
J4,N,10.5,2,1500,Link,40,0,1
J4,S,10.5,3,3000,Arterial,80,1,1
J4,E,14.0,4,1500,Link,60,0,0
J4,W,7.5,3,3000,Link,40,0,0
J5,N,14.0,3,3000,Arterial,60,0,1
J5,S,10.5,4,3000,Link,40,0,0
J5,E,10.5,2,2000,Arterial,40,0,1
J5,W,7.5,4,3000,Arterial,40,1,1
J6,N,7.5,2,3000,Link,40,1,0
J6,S,10.5,3,2000,Arterial,60,0,1
J6,E,10.5,3,2000,Highway,80,1,1
J6,W,10.5,4,2000,Arterial,40,0,0
J7,N,7.5,3,1500,Link,60,1,1
J7,S,14.0,3,1500,Link,40,1,1
J7,E,14.0,4,3000,Arterial,80,0,1
J7,W,14.0,4,3000,Arterial,80,0,1
J8,N,7.5,2,3000,Arterial,80,0,1
J8,S,7.5,3,2000,Arterial,40,1,1
J8,E,14.0,2,3000,Highway,80,1,0
J8,W,14.0,4,2000,Link,40,1,0
J9,N,14.0,2,2000,Arterial,60,0,0
J9,S,7.5,4,2000,Link,60,0,0
J9,E,10.5,4,3000,Highway,40,0,1
J9,W,7.5,3,1500,Highway,80,0,1
J10,N,14.0,3,2000,Highway,80,1,1
J10,S,14.0,2,3000,Link,40,0,1
J10,E,14.0,4,2000,Link,80,0,1
J10,W,10.5,3,3000,Highway,60,1,1
J11,N,7.5,2,3000,Arterial,80,1,1
J11,S,7.5,2,1500,Highway,80,0,1
J11,E,10.5,2,2000,Arterial,80,0,1
J11,W,10.5,2,2000,Arterial,60,0,1
J12,N,14.0,2,1500,Arterial,80,0,1
J12,S,14.0,3,2000,Link,40,0,1
J12,E,10.5,4,3000,Arterial,40,1,0
J12,W,10.5,3,1500,Link,80,1,1
J13,N,10.5,3,3000,Link,40,1,1
J13,S,10.5,3,1500,Arterial,80,1,0
J13,E,7.5,2,1500,Arterial,80,0,1
J13,W,7.5,4,1500,Link,60,1,1
J14,N,7.5,2,1500,Arterial,80,1,0
J14,S,14.0,4,1500,Link,60,0,0
J14,E,7.5,4,2000,Highway,60,1,0
J14,W,7.5,3,3000,Link,80,0,1
J15,N,14.0,4,2000,Arterial,60,0,1
J15,S,7.5,3,1500,Highway,40,0,1
J15,E,10.5,4,1500,Link,80,1,1
J15,W,14.0,3,2000,Highway,60,0,1
J16,N,7.5,4,2000,Link,40,1,1
J16,S,7.5,2,3000,Link,80,1,0
J16,E,7.5,3,1500,Arterial,80,0,1
J16,W,10.5,4,2000,Link,80,0,1
J17,N,7.5,4,2000,Arterial,40,1,1
J17,S,7.5,4,1500,Highway,40,1,1
J17,E,10.5,3,3000,Highway,40,0,1
J17,W,14.0,4,3000,Arterial,80,0,1
J18,N,14.0,4,1500,Link,40,0,1
J18,S,10.5,4,2000,Highway,60,0,1
J18,E,7.5,4,1500,Link,60,1,1
J18,W,10.5,3,2000,Highway,80,0,1
J19,N,7.5,4,1500,Arterial,80,0,0
J19,S,10.5,3,3000,Link,60,1,1
J19,E,7.5,2,2000,Arterial,40,0,1
J19,W,14.0,3,1500,Highway,60,1,1
J20,N,10.5,2,1500,Link,80,1,1
J20,S,14.0,4,3000,Highway,60,1,1
J20,E,7.5,2,3000,Highway,60,1,1
J20,W,10.5,4,1500,Highway,80,0,0
