timestamp,user_id,junction_id,issue_type,description,priority_level,status
2025-08-28 22:57:50.633444,USR-9964,J9,Pothole,Automated citizen feedback report.,Low,Resolved
2025-05-09 03:57:50.633444,USR-7268,J10,Signal Outage,Automated citizen feedback report.,Medium,Resolved
2026-02-06 03:57:50.633444,USR-1507,J15,Heavy Congestion,Automated citizen feedback report.,Critical,Open
2025-12-30 11:57:50.633444,USR-5596,J5,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-12-27 04:57:50.633444,USR-7372,J19,Heavy Congestion,Automated citizen feedback report.,Critical,Open
2025-06-11 19:57:50.633444,USR-3944,J4,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-09-19 16:57:50.633444,USR-8814,J6,Pothole,Automated citizen feedback report.,Low,Resolved
2026-03-21 05:57:50.633444,USR-8524,J13,Pothole,Automated citizen feedback report.,Low,Resolved
2025-07-29 18:57:50.633444,USR-1813,J11,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-11-23 05:57:50.633444,USR-6590,J4,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-04-29 15:57:50.633444,USR-4748,J9,Pothole,Automated citizen feedback report.,Medium,In Progress
2025-11-08 07:57:50.633444,USR-1141,J1,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-10-28 03:57:50.633444,USR-7447,J6,Signal Outage,Automated citizen feedback report.,High,Open
2026-03-16 05:57:50.633444,USR-5332,J18,Pothole,Automated citizen feedback report.,Low,Resolved
2025-11-24 07:57:50.633444,USR-5485,J11,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-11-23 15:57:50.633444,USR-6125,J4,Accident,Automated citizen feedback report.,Medium,In Progress
2026-03-18 01:57:50.633444,USR-1175,J8,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2025-12-13 16:57:50.633444,USR-2082,J11,Pothole,Automated citizen feedback report.,Low,In Progress
2025-06-18 03:57:50.633444,USR-6294,J15,Signal Outage,Automated citizen feedback report.,Low,Resolved
2025-09-17 19:57:50.633444,USR-2858,J1,Accident,Automated citizen feedback report.,High,Open
2025-06-19 11:57:50.633444,USR-5128,J16,Heavy Congestion,Automated citizen feedback report.,Medium,Resolved
2026-01-18 10:57:50.633444,USR-4337,J18,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-08-07 16:57:50.633444,USR-2202,J12,Heavy Congestion,Automated citizen feedback report.,Low,Resolved
2025-06-04 10:57:50.633444,USR-9707,J3,Signal Outage,Automated citizen feedback report.,High,Resolved
2025-07-12 06:57:50.633444,USR-9499,J2,Signal Outage,Automated citizen feedback report.,Critical,Resolved
2025-06-15 21:57:50.633444,USR-9842,J10,Accident,Automated citizen feedback report.,Critical,Open
2026-03-31 00:57:50.633444,USR-1085,J3,Heavy Congestion,Automated citizen feedback report.,High,Resolved
2026-03-24 00:57:50.633444,USR-4255,J10,Signal Outage,Automated citizen feedback report.,Medium,In Progress
2025-11-03 21:57:50.633444,USR-5540,J5,Accident,Automated citizen feedback report.,Critical,In Progress
2025-07-12 00:57:50.633444,USR-6806,J15,Heavy Congestion,Automated citizen feedback report.,High,In Progress
2025-07-24 02:57:50.633444,USR-8641,J11,Signal Outage,Automated citizen feedback report.,Low,In Progress
2025-08-01 08:57:50.633444,USR-6435,J2,Heavy Congestion,Automated citizen feedback report.,Critical,Resolved
2025-11-05 23:57:50.633444,USR-2789,J3,Accident,Automated citizen feedback report.,Low,In Progress
2026-01-07 19:57:50.633444,USR-4068,J14,Signal Outage,Automated citizen feedback report.,High,Open
2025-11-13 02:57:50.633444,USR-9694,J20,Pothole,Automated citizen feedback report.,High,In Progress
2025-09-18 18:57:50.633444,USR-4317,J2,Signal Outage,Automated citizen feedback report.,Low,Resolved
