Junction_Name,Total_Vehicles,PM2_5_Level,Frustration_Index
ABB Circle,320.9454926624738,210.42207547169812,7.407945492662474
Ashok Stambh,314.18918918918916,206.93318532818532,7.535
CBS SIGNAL,315.4512195121951,207.6351219512195,7.453028455284553
Croma - Inox Signal,316.0249042145594,207.82055555555556,7.435459770114942
ITI Signal,318.7845188284519,208.9810669456067,7.378451882845188
ITI Signal Post Office,315.1699604743083,207.6966205533597,7.455691699604743
Jailroad Signal,319.3051181102362,209.51102362204725,7.463838582677165
Nashik Municipal Corporation,317.55226824457594,208.73360946745564,7.315956607495069
Tarwala / MERI Signal,321.2765072765073,210.09484407484408,7.499002079002079
"Udyog Bhavan, FDA office",321.1545988258317,211.18502935420744,7.483131115459883
