Timestamp,Junction_Name,Incoming_North,Outgoing_North,Incoming_South,Outgoing_South,Incoming_East,Outgoing_East,Incoming_West,Outgoing_West,Total_Vehicles,Avg_Speed_kmh,PM2_5_Level,Waiting_Time_Sec,Weather,Citizen_Sentiment,Frustration_Index,Sarvam_AI_Priority
2026-03-07 05:16:00,ABB Circle,132,89,25,111,137,92,144,149,438,40.28,262.31,80.18,Foggy,Frustrated,8.94,High
2026-03-09 04:44:00,Jailroad Signal,50,70,134,74,112,74,87,129,383,41.93,233.86,67.9,Clear,Impatient,9.48,High
2026-03-11 10:06:00,ITI Signal Post Office,47,75,125,145,69,29,131,92,372,15.8,231.41,83.3,Rainy,Impatient,8.64,High
2026-03-10 20:29:00,"Udyog Bhavan, FDA office",79,42,11,86,59,84,45,19,194,42.16,139.7,31.42,Foggy,Neutral,6.2,Normal
2026-03-05 04:53:00,ITI Signal Post Office,93,27,143,96,146,149,18,57,400,36.85,257.07,94.81,Foggy,Frustrated,9.79,High
2026-03-15 12:50:00,Croma - Inox Signal,130,150,54,140,55,43,125,137,364,27.66,230.97,85.81,Rainy,Anxious,9.67,High
2026-03-03 16:45:00,CBS SIGNAL,62,138,25,137,22,150,12,45,121,58.41,113.65,27.85,Rainy,Neutral,4.91,Normal
2026-03-22 03:15:00,Nashik Municipal Corporation,109,13,55,68,60,54,49,57,273,24.09,178.27,55.48,Foggy,Neutral,6.56,Normal
2026-03-01 20:03:00,Croma - Inox Signal,54,16,114,113,75,103,79,30,322,16.76,203.39,67.05,Foggy,Impatient,9.58,High
2026-03-19 06:38:00,Nashik Municipal Corporation,23,65,52,150,23,93,131,77,229,33.81,157.61,47.44,Overcast,Impatient,6.23,Normal
2026-03-11 20:21:00,CBS SIGNAL,30,114,23,54,24,16,87,84,164,44.44,139.53,34.74,Rainy,Neutral,7.54,High
2026-03-14 15:16:00,Tarwala / MERI Signal,88,34,126,119,102,101,106,131,422,31.6,252.24,97.89,Overcast,Frustrated,8.59,High
2026-03-16 23:30:00,Croma - Inox Signal,148,63,77,122,113,34,26,112,364,35.35,230.42,70.37,Rainy,Frustrated,9.3,High
2026-03-18 18:19:00,Ashok Stambh,57,130,130,100,61,65,47,51,295,24.99,195.55,61.53,Foggy,Frustrated,7.3,High
2026-03-15 02:28:00,CBS SIGNAL,105,41,123,38,90,22,141,93,459,15.38,275.92,93.48,Overcast,Anxious,7.88,High
2026-03-13 12:05:00,CBS SIGNAL,49,33,40,35,29,79,60,140,178,31.22,147.98,33.52,Rainy,Impatient,7.91,High
